rafales_sur_une_periode,variation_de_pression_en_3_heures,precipitations_dans_les_3_dernieres_heures,regioncode,pression_station,pression_au_niveau_mer,direction_du_vent_moyen,vitesse_du_vent_moyen,humidite,point_de_rosee,temperature_c,latitude,longitude,altitude,date,consommation_mw,thermique_mw,nucleaire_mw,eolien_mw,solaire_mw,hydraulique_mw,pompage_mw,bioenergies_mw,ech._physiques_mw,prod_totale
22.6,27650.0,220.99999999999983,18888.0,99147.4375,101399.03125,260.0,4.325312499999998,83.753125,277.79937499999994,7.315312500000021,46.826499999999996,2.0969165,110.0,2013-01-01,2556595.0,172372.0,2323275.0,121486.0,5632.0,319876.0,-65867.0,33761.0,-355692.0,2976402.0
23.1,50470.0,21.999999999999996,18888.0,100368.15625,102628.625,270.0,3.2828125000000083,83.746875,276.0784374999998,5.664375000000023,46.826499999999996,2.0969165,110.0,2013-01-02,3095594.0,225174.0,2677237.0,67950.0,12613.0,421544.0,-35066.0,33653.0,-309167.0,3438171.0
19.0,31570.0,8.400000000000002,18888.0,101416.84375,103630.84375,230.0,2.9412500000000095,84.8375,277.3765625000001,6.868437500000033,46.826499999999996,2.0969165,110.0,2013-01-03,3198764.0,285326.0,2652888.0,77227.0,10115.0,438911.0,-34459.0,34866.0,-267855.0,3499333.0
21.6,-10300.0,3.0,18888.0,101557.6875,103758.96875,250.0,2.5734375000000083,87.540625,278.96000000000004,7.90250000000002,46.826499999999996,2.0969165,110.0,2013-01-04,3131399.0,255009.0,2685282.0,48829.0,6803.0,414300.0,-48470.0,35980.0,-267999.0,3446203.0
25.7,-12440.0,3.600000000000001,18888.0,101205.03125,103426.0,240.0,2.6359375000000074,88.4125,278.4128125,7.256562500000024,46.826499999999996,2.0969165,110.0,2013-01-05,2886822.0,175314.0,2646502.0,43992.0,7199.0,385204.0,-55360.0,36871.0,-354581.0,3295082.0
25.7,-16790.0,1.6,18888.0,100894.0625,103124.96875,180.0,2.420312500000007,88.84375,277.6396875,6.461562500000026,46.826499999999996,2.0969165,110.0,2013-01-06,2809551.0,172866.0,2600377.0,30761.0,7457.0,325051.0,-56822.0,36638.0,-308423.0,3173150.0
20.6,-7590.0,1.2,18888.0,100524.625,102772.09375,160.0,2.199687500000006,89.20625,276.74500000000006,5.490312500000026,46.826499999999996,2.0969165,110.0,2013-01-07,3257118.0,389460.0,2703507.0,22342.0,7961.0,442157.0,-31778.0,35163.0,-313420.0,3600590.0
14.4,-2340.0,3.2,18888.0,100518.53125,102752.25,190.0,2.3006250000000064,89.346875,276.0846875000001,4.685625000000027,46.826499999999996,2.0969165,110.0,2013-01-08,3431436.0,466067.0,2745016.0,19945.0,7047.0,487315.0,-30769.0,35465.0,-300254.0,3760855.0
12.3,-24290.0,25.199999999999992,18888.0,100074.59375,102346.90625,190.0,2.1475000000000066,90.25625,275.9721874999999,4.390312500000025,46.826499999999996,2.0969165,110.0,2013-01-09,3500917.0,396450.0,2804805.0,21884.0,6700.0,518757.0,-28011.0,35844.0,-257206.0,3784440.0
23.7,-15440.0,122.00000000000007,18888.0,99543.1875,101814.4375,220.0,3.4228125000000085,89.1625,277.72624999999994,6.3596875000000255,46.826499999999996,2.0969165,110.0,2013-01-10,3437222.0,385654.0,2792824.0,56287.0,6694.0,451699.0,-34081.0,35576.0,-259223.0,3728734.0
32.9,4550.0,87.00000000000004,18888.0,99619.375,101892.78125,270.0,3.9518749999999976,81.3125,276.14781250000016,6.19937500000002,46.826499999999996,2.0969165,110.0,2013-01-11,3361584.0,387039.0,2799174.0,70621.0,13712.0,425535.0,-43259.0,37371.0,-330423.0,3733452.0
24.2,-22320.0,112.00000000000003,18888.0,99141.46875,101422.28125,160.0,3.098437500000011,84.271875,274.9443750000003,4.433750000000019,46.826499999999996,2.0969165,110.0,2013-01-12,3163299.0,313603.0,2786819.0,49431.0,8886.0,379022.0,-53342.0,38133.0,-361060.0,3575894.0
