,temperature_c,humidite,pression_station,pression_au_niveau_mer,precipitations_dans_les_3_dernieres_heures
2012-12-31 21:00:00+00:00,7.520000000000022,82.3,98950.0,101191.75,35.2
2013-01-01 00:00:00+00:00,7.327500000000024,84.5,98878.25,101126.5,38.0
2013-01-01 03:00:00+00:00,7.277500000000023,85.175,98859.5,101105.5,31.0
2013-01-01 06:00:00+00:00,7.200000000000024,86.0,98884.75,101132.5,28.6
2013-01-01 09:00:00+00:00,7.54250000000002,85.475,99059.25,101307.0,38.4
2013-01-01 12:00:00+00:00,8.887500000000022,79.275,99171.5,101414.25,29.799999999999997
2013-01-01 15:00:00+00:00,8.435000000000024,78.525,99251.5,101501.75,26.6
2013-01-01 18:00:00+00:00,6.410000000000023,84.4,99433.5,101695.25,16.2
2013-01-01 21:00:00+00:00,5.442500000000026,86.675,99641.25,101909.5,12.4
2013-01-02 00:00:00+00:00,4.76500000000002,87.625,99829.25,102101.0,10.4
2013-01-02 03:00:00+00:00,4.232500000000021,88.075,99978.5,102255.0,5.2
2013-01-02 06:00:00+00:00,4.010000000000024,88.0,100118.0,102396.25,2.6
2013-01-02 09:00:00+00:00,4.762500000000024,86.475,100367.5,102635.5,0.6000000000000001
2013-01-02 12:00:00+00:00,7.645000000000023,77.225,100456.0,102705.75,0.4
2013-01-02 15:00:00+00:00,8.037500000000026,74.275,100558.5,102803.25,0.4
2013-01-02 18:00:00+00:00,6.295000000000023,82.7,100734.5,102983.5,0.2
2013-01-02 21:00:00+00:00,5.567500000000024,85.6,100903.0,103148.75,2.2
2013-01-03 00:00:00+00:00,5.252500000000021,87.45,101040.5,103280.75,1.6
2013-01-03 03:00:00+00:00,5.232500000000028,87.825,101173.25,103406.0,0.8
2013-01-03 06:00:00+00:00,5.242500000000024,89.025,101288.75,103516.5,1.2
2013-01-03 09:00:00+00:00,6.210000000000025,87.05,101477.5,103694.0,1.6
2013-01-03 12:00:00+00:00,8.537500000000023,79.4,101519.0,103719.25,1.4
2013-01-03 15:00:00+00:00,9.267500000000023,77.45,101518.25,103712.0,0.8
2013-01-03 18:00:00+00:00,7.827500000000024,84.275,101626.25,103825.75,0.4
2013-01-03 21:00:00+00:00,7.377500000000022,86.225,101691.25,103892.5,0.6000000000000001
2013-01-04 00:00:00+00:00,7.1175000000000255,88.025,101684.0,103887.0,0.6000000000000001
2013-01-04 03:00:00+00:00,6.772500000000025,89.85,101628.25,103836.0,0.6000000000000001
2013-01-04 06:00:00+00:00,6.747500000000026,90.025,101575.0,103784.0,0.2
2013-01-04 09:00:00+00:00,7.540000000000023,88.625,101625.25,103827.5,0.8
2013-01-04 12:00:00+00:00,9.307500000000022,83.675,101569.5,103760.5,0.4
2013-01-04 15:00:00+00:00,9.750000000000025,82.45,101484.0,103672.25,0.2
2013-01-04 18:00:00+00:00,8.280000000000022,87.975,101464.25,103665.25,0.0
2013-01-04 21:00:00+00:00,7.705000000000022,89.7,101431.25,103639.25,0.2
2013-01-05 00:00:00+00:00,7.232500000000023,90.575,101353.25,103567.0,0.4
2013-01-05 03:00:00+00:00,6.695000000000026,90.95,101295.0,103516.25,0.4
2013-01-05 06:00:00+00:00,6.360000000000028,91.15,101216.75,103443.5,0.2
2013-01-05 09:00:00+00:00,7.077500000000022,89.3,101248.25,103471.5,1.2
2013-01-05 12:00:00+00:00,8.477500000000019,83.675,101193.75,103408.5,0.2
2013-01-05 15:00:00+00:00,8.527500000000023,82.725,101107.5,103322.0,0.2
2013-01-05 18:00:00+00:00,7.055000000000024,88.7,101107.5,103334.0,0.2
2013-01-05 21:00:00+00:00,6.627500000000024,90.225,101118.25,103345.25,0.8
2013-01-06 00:00:00+00:00,6.257500000000022,90.05,101074.5,103304.75,0.8
2013-01-06 03:00:00+00:00,5.932500000000024,90.875,101021.5,103252.25,0.2
2013-01-06 06:00:00+00:00,5.615000000000021,90.85,100961.5,103193.25,0.2
2013-01-06 09:00:00+00:00,6.027500000000023,89.675,100991.0,103222.0,0.2
2013-01-06 12:00:00+00:00,7.46000000000002,86.175,100895.0,103119.0,0.0
2013-01-06 15:00:00+00:00,7.705000000000022,85.05,100782.5,103007.5,0.0
2013-01-06 18:00:00+00:00,6.600000000000023,88.725,100729.5,102963.5,0.0
2013-01-06 21:00:00+00:00,6.095000000000023,89.35,100697.0,102937.5,0.2
2013-01-07 00:00:00+00:00,5.532500000000025,90.225,100641.0,102886.25,0.0
2013-01-07 03:00:00+00:00,5.080000000000022,91.225,100558.5,102807.5,0.2
2013-01-07 06:00:00+00:00,4.792500000000021,90.2,100505.25,102757.75,0.2
2013-01-07 09:00:00+00:00,5.012500000000026,89.65,100566.75,102819.75,0.2
2013-01-07 12:00:00+00:00,6.670000000000026,85.525,100509.25,102753.25,0.0
2013-01-07 15:00:00+00:00,6.735000000000025,85.825,100437.25,102677.75,0.4
2013-01-07 18:00:00+00:00,5.370000000000023,90.0,100471.75,102719.5,0.0
2013-01-07 21:00:00+00:00,4.730000000000021,91.0,100507.25,102755.0,0.2
2013-01-08 00:00:00+00:00,4.110000000000026,91.375,100504.75,102756.5,0.0
2013-01-08 03:00:00+00:00,3.885000000000025,91.575,100490.5,102747.25,0.0
2013-01-08 06:00:00+00:00,3.6150000000000233,91.975,100477.5,102737.75,0.0
2013-01-08 09:00:00+00:00,4.115000000000025,91.225,100584.5,102841.75,0.0
2013-01-08 12:00:00+00:00,5.737500000000017,86.175,100553.5,102807.0,0.0
2013-01-08 15:00:00+00:00,6.665000000000025,83.225,100618.25,102691.75,0.2
2013-01-08 18:00:00+00:00,4.94500000000002,88.875,100475.75,102731.75,1.0
2013-01-08 21:00:00+00:00,4.4125000000000245,90.35,100443.5,102704.25,2.0
2013-01-09 00:00:00+00:00,3.947500000000025,91.75,100364.0,102627.0,5.6
2013-01-09 03:00:00+00:00,3.510000000000024,92.025,100268.75,102536.5,5.4
2013-01-09 06:00:00+00:00,3.285000000000021,92.6,100149.5,102423.25,2.4000000000000004
2013-01-09 09:00:00+00:00,3.7350000000000207,91.725,100154.75,102427.75,1.4
2013-01-09 12:00:00+00:00,5.315000000000019,86.125,100034.0,102305.0,3.6
2013-01-09 15:00:00+00:00,5.98000000000002,85.125,99917.25,102189.0,2.2
2013-01-09 18:00:00+00:00,4.877500000000022,90.25,99873.75,102150.75,2.0
2013-01-09 21:00:00+00:00,4.472500000000023,92.45,99834.75,102116.0,2.6000000000000005
2013-01-10 00:00:00+00:00,4.435000000000022,93.075,99749.0,102033.0,3.8000000000000007
2013-01-10 03:00:00+00:00,4.705000000000022,92.85,99648.0,101931.75,6.4
2013-01-10 06:00:00+00:00,4.83000000000002,92.675,99597.25,101880.0,11.8
2013-01-10 09:00:00+00:00,5.6000000000000245,91.675,99619.0,101894.5,11.400000000000002
2013-01-10 12:00:00+00:00,7.687500000000024,86.975,99503.75,101769.25,12.200000000000005
2013-01-10 15:00:00+00:00,8.68500000000002,83.675,99397.25,101655.25,15.8
2013-01-10 18:00:00+00:00,7.745000000000023,86.475,99383.5,101643.25,33.599999999999994
2013-01-10 21:00:00+00:00,7.190000000000022,85.9,99447.75,101708.5,27.0
2013-01-11 00:00:00+00:00,6.48000000000002,85.25,99514.0,101784.75,28.4
2013-01-11 03:00:00+00:00,5.902500000000022,84.65,99551.75,101828.75,20.4
2013-01-11 06:00:00+00:00,5.255000000000024,85.075,99591.75,101879.25,20.6
2013-01-11 09:00:00+00:00,5.510000000000019,85.85,99747.25,102026.25,10.6
2013-01-11 12:00:00+00:00,8.195000000000022,73.9,99714.0,101977.75,3.0000000000000004
2013-01-11 15:00:00+00:00,8.385000000000023,70.25,99653.0,101911.0,2.4000000000000004
2013-01-11 18:00:00+00:00,5.547500000000023,81.0,99623.25,101897.25,1.4
2013-01-11 21:00:00+00:00,4.320000000000023,84.525,99560.0,101837.25,0.2
2013-01-12 00:00:00+00:00,3.4750000000000214,86.3,99439.25,101721.25,13.0
2013-01-12 03:00:00+00:00,2.9600000000000195,86.525,99282.75,101571.25,11.9
2013-01-12 06:00:00+00:00,2.757500000000016,86.7,99168.0,101458.75,22.3
2013-01-12 09:00:00+00:00,3.770000000000023,84.7,99175.25,101457.25,13.999999999999998
2013-01-12 12:00:00+00:00,6.315000000000021,78.875,99065.5,101337.5,14.8
2013-01-12 15:00:00+00:00,6.892500000000022,77.4,99001.25,101269.25,10.4
2013-01-12 18:00:00+00:00,5.08250000000002,84.475,98999.25,101280.25,18.6
